name,salary_from,salary_to,salary_currency,area_name,published_at
Администратор телеграм-канала,30000.0,50000.0,RUR,Москва,2022-12-15T10:40:50+0300
Junior Frontend Developer (Vue.js),40000.0,50000.0,RUR,Санкт-Петербург,2022-12-15T11:32:25+0300
Трейдер (фьючерсы MOEX),30000.0,,RUR,Москва,2022-12-15T09:17:35+0300
Frontend Developer,500.0,3000.0,USD,Ташкент,2022-12-15T10:32:46+0300
Аналитик,150000.0,180000.0,RUR,Москва,2022-12-15T11:42:00+0300
Фронтенд-разработчик,90000.0,,RUR,Кемерово,2022-12-15T05:12:41+0300
Flutter разработчик (junior),200000.0,300000.0,KZT,Алматы,2022-12-15T08:39:33+0300
Начинающий IT специалист,50000.0,,RUR,Кострома,2022-12-15T09:12:44+0300
Оператор станков с ЧПУ,80000.0,,RUR,Ростов-на-Дону,2022-12-15T10:10:54+0300
Junior project-manager / Младший менеджер интернет-проектов,60000.0,,RUR,Москва,2022-12-15T11:01:49+0300
Программист C# (junior),40000.0,,RUR,Краснодар,2022-12-15T10:33:54+0300
Менеджер,26000.0,32000.0,RUR,Киров (Кировская область),2022-12-15T10:36:45+0300
Java-разработчик,80000.0,,RUR,Пермь,2022-12-15T10:44:35+0300
Реквизитор бутафор / крафтер,40000.0,,RUR,Казань,2022-12-15T09:46:38+0300
Дизайнер,80460.0,,RUR,Москва,2022-12-15T09:50:39+0300
Инженер технической поддержки,50000.0,60000.0,RUR,Томск,2022-12-15T11:37:04+0300
Механик по транспорту АТ и ДСТ,130000.0,140000.0,RUR,Санкт-Петербург,2022-12-15T08:14:53+0300
Дизайнер-печатник в полиграфию,170000.0,350000.0,KZT,Астана,2022-12-15T10:18:51+0300
"Инженер-наладчик, инженер по наладке и испытаниям (Бангладеш, Турция)",130000.0,200000.0,RUR,Удомля,2022-12-15T09:32:17+0300
Инженер-программист станков с ЧПУ,80000.0,,RUR,Нижний Новгород,2022-12-15T08:57:59+0300
Системный администратор,60000.0,100000.0,RUR,Долгопрудный,2022-12-15T03:12:06+0300
Автор-аналитик (удалённо),65000.0,85000.0,RUR,Москва,2022-12-15T10:29:09+0300
Frontend разработчик / Верстальщик,80000.0,130000.0,RUR,Москва,2022-12-15T03:09:13+0300
3D-Визуализатор,,80000.0,RUR,Новосибирск,2022-12-15T10:34:05+0300
NodeJS разработчик,180000.0,250000.0,RUR,Москва,2022-12-15T11:53:18+0300
Заместитель начальника участка буровзрывных работ на ОГР,270000.0,,RUR,Екатеринбург,2022-12-15T08:56:27+0300
Оператор-наладчик станков с ЧПУ,,85000.0,RUR,Калуга,2022-12-15T11:28:22+0300
Графический дизайнер в агентство маркетинга и франчайзинга (удаленно),40000.0,50000.0,RUR,Краснодар,2022-12-15T11:35:31+0300
Менеджер проектов/IT Project Manager,100000.0,,RUR,Барнаул,2022-12-15T05:12:38+0300
Помощник машиниста экструдера,58000.0,,RUR,Екатеринбург,2022-12-15T08:22:13+0300
Управляющий интернет-магазином,70000.0,150000.0,RUR,Москва,2022-12-15T11:25:46+0300
"Оператор производственной линии ( с опытом работы на профилегибочной линии), оператор станка с ЧПУ",60000.0,100000.0,RUR,Новосибирск,2022-12-15T11:42:39+0300
NodeJS разработчик,180000.0,250000.0,RUR,Санкт-Петербург,2022-12-15T11:53:18+0300
Оператор станков с ЧПУ,80000.0,120000.0,RUR,Самара,2022-12-15T08:57:47+0300
IT специалист / Системный администратор / Техник,20000.0,35000.0,RUR,Омск,2022-12-15T10:01:47+0300
Администратор проектов,70000.0,90000.0,RUR,Москва,2022-12-15T10:56:43+0300
Механик по транспорту,72000.0,90000.0,RUR,Краснодар,2022-12-15T10:31:01+0300
Senior/Middle Frontend-разработчик,180000.0,280000.0,RUR,Тверь,2022-12-15T05:58:06+0300
Специалист по IT,69000.0,75000.0,RUR,Сочи,2022-12-15T10:22:11+0300
Специалист по информационной безопасности,45000.0,,RUR,Барнаул,2022-12-15T05:35:14+0300
Инженер по обслуживанию домофонов,45000.0,,RUR,Набережные Челны,2022-12-15T09:57:33+0300
Стажер/PHP-программист,20000.0,,RUR,Санкт-Петербург,2022-12-15T10:44:40+0300
"Менеджер IT, EdTech",100000.0,,RUR,Москва,2022-12-15T03:24:20+0300
Токарь (оператор на станок с ЧПУ),80000.0,,RUR,Ростов-на-Дону,2022-12-15T11:45:39+0300
Специалист вечерней техподдержки (удаленно),20000.0,23000.0,RUR,Санкт-Петербург,2022-12-15T10:49:36+0300
Копирайтер / Редактор / Оператор обработки текста и ввода данных (удаленно),,80000.0,RUR,Санкт-Петербург,2022-12-15T09:06:50+0300
